
List of user-set options:

                                    Name   Value                used
                           linear_solver = mumps                 yes
                  ma57_automatic_scaling = yes                    no
                                max_iter = 10000                 yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildeState_actdyn_GPOPS_IPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:   254728
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 9.9999900e-003 3.31e+000 1.00e+000   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 9.5810181e-001 3.00e+001 3.47e+003   2.8 4.25e+004    -  6.15e-006 4.17e-004f  1
   2 1.0058510e+000 2.99e+001 3.46e+003   0.7 2.72e+001   2.0 1.05e-001 3.17e-003f  1
   3 1.7730281e+000 2.89e+001 4.15e+004   0.7 2.63e+001   1.5 4.29e-002 4.57e-002f  1
   4 2.4267911e+000 2.80e+001 4.23e+004   0.7 2.16e+001   1.0 2.01e-001 3.03e-002f  1
   5 3.1324752e+000 2.72e+001 4.68e+004   0.7 2.19e+001   1.5 1.62e-001 3.23e-002f  1
   6 4.9302062e+000 2.52e+001 6.16e+004   0.7 2.43e+001   1.0 2.52e-001 7.40e-002f  1
   7 6.2558085e+000 2.39e+001 8.05e+004   0.7 2.57e+001   1.4 4.03e-001 5.17e-002h  1
   8 7.0480505e+000 2.46e+001 7.86e+004   0.7 3.82e+001   0.9 2.33e-002 2.90e-002f  1
   9 1.0097896e+001 2.21e+001 6.63e+004   0.7 2.95e+001   0.5 3.02e-001 1.03e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 1.2806462e+001 2.03e+001 5.51e+004   0.7 3.22e+001  -0.0 3.15e-001 8.42e-002f  1
  11 1.7272916e+001 1.77e+001 3.62e+004   0.7 4.14e+001  -0.5 3.92e-001 1.33e-001f  1
  12 3.5753156e+001 1.03e+001 4.83e+005   1.0 3.57e+001  -0.1 5.46e-001 5.17e-001f  1
  13 4.5686752e+001 6.43e+000 2.44e+005   0.8 2.47e+001   0.4 1.00e+000 4.02e-001f  1
  14 5.4951224e+001 3.13e+000 9.72e+004   1.1 1.70e+001   0.8 1.00e+000 5.44e-001f  1
  15 6.1121337e+001 1.26e-001 1.10e+004  -4.9 6.17e+000    -  3.81e-001 1.00e+000h  1
  16 6.2782269e+001 4.71e-002 1.13e+003   0.4 1.66e+000   0.3 9.88e-001 1.00e+000f  1
  17 6.2073031e+001 4.36e-002 9.96e+002  -5.6 3.48e+001    -  7.61e-002 2.76e-001f  1
  18 6.0818559e+001 9.19e-002 1.71e+001  -1.0 1.93e+000    -  9.35e-001 1.00e+000f  1
  19 4.4596156e+001 3.44e+000 2.91e+001  -1.5 1.62e+001    -  7.29e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 3.5403282e+001 2.91e+000 3.84e+001  -1.7 1.42e+001    -  7.30e-001 1.00e+000f  1
  21 2.4903049e+001 2.66e+000 1.47e+001  -3.0 1.84e+001    -  5.08e-001 5.71e-001f  1
  22 1.5200182e+001 2.86e+000 1.03e+001  -2.3 2.45e+001    -  7.40e-001 1.00e+000f  1
  23 1.8069250e+001 5.04e-002 1.97e+000  -2.7 2.87e+000  -0.2 1.00e+000 1.00e+000h  1
  24 1.8017687e+001 2.16e-003 1.47e-001  -4.2 5.29e-002  -0.6 1.00e+000 1.00e+000h  1
  25 1.7850720e+001 1.45e-002 1.27e-002  -5.7 1.67e-001  -1.1 1.00e+000 1.00e+000f  1
  26 1.7739552e+001 2.03e-001 3.53e-002  -5.8 2.48e+000  -1.6 1.00e+000 2.21e-001f  1
  27 1.7631407e+001 8.38e-002 2.24e-002  -4.1 1.79e-001  -1.2 1.00e+000 6.04e-001h  1
  28 1.7596519e+001 4.02e-002 1.42e-002  -5.0 6.63e-002  -0.7 1.00e+000 5.26e-001h  1
  29 1.7535195e+001 2.92e-002 1.18e-002  -5.5 1.86e-001  -1.2 1.00e+000 3.31e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 1.7508262e+001 1.87e-002 1.15e-002  -5.9 7.08e-002  -0.8 1.00e+000 3.89e-001h  1
  31 1.7460747e+001 1.64e-002 1.13e-002  -6.6 2.02e-001  -1.3 1.00e+000 2.39e-001h  1
  32 1.7438659e+001 1.19e-002 1.11e-002  -6.6 7.42e-002  -0.8 1.00e+000 2.98e-001h  1
  33 1.7399729e+001 1.09e-002 1.09e-002  -6.7 2.15e-001  -1.3 1.00e+000 1.81e-001h  1
  34 1.7388619e+001 9.51e-003 1.08e-002  -6.7 8.00e-002  -0.9 1.00e+000 1.39e-001h  1
  35 1.7337600e+001 9.27e-003 1.06e-002  -6.8 2.33e-001  -1.4 1.00e+000 2.19e-001f  1
  36 1.7292068e+001 5.74e-003 1.02e-002  -7.6 8.77e-002  -0.9 1.00e+000 5.21e-001h  1
  37 1.7289576e+001 5.69e-003 1.02e-002  -7.2 2.52e-001  -1.4 1.00e+000 9.90e-003h  1
  38 1.7273621e+001 4.87e-003 1.01e-002  -7.6 9.50e-002  -1.0 1.00e+000 1.68e-001h  1
  39 1.7223794e+001 5.14e-003 9.93e-003  -8.2 2.76e-001  -1.5 1.00e+000 1.81e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 1.7221970e+001 5.05e-003 9.91e-003  -7.2 1.04e-001  -1.1 1.00e+000 1.76e-002h  1
  41 1.7181173e+001 4.98e-003 9.79e-003  -7.7 3.03e-001  -1.5 1.00e+000 1.35e-001f  1
  42 1.7176922e+001 4.80e-003 9.76e-003  -6.7 1.15e-001  -1.1 1.00e+000 3.73e-002h  1
  43 1.7140067e+001 4.66e-003 9.64e-003  -7.2 3.31e-001  -1.6 1.00e+000 1.11e-001f  1
  44 1.7028419e+001 4.21e-003 2.47e-002  -5.6 1.25e-001  -1.2 1.00e+000 8.97e-001f  1
  45 1.7014916e+001 2.97e-003 1.76e-002  -6.8 4.51e-002  -0.7 1.00e+000 2.99e-001h  1
  46 1.7010969e+001 2.89e-003 1.71e-002  -6.3 1.34e-001  -1.2 1.00e+000 2.95e-002h  1
  47 1.6961270e+001 6.37e-004 8.35e-003  -6.6 5.01e-002  -0.8 1.00e+000 9.92e-001h  1
  48 1.6958855e+001 6.27e-004 8.35e-003  -7.5 1.47e-001  -1.3 1.00e+000 1.64e-002h  1
  49 1.6946419e+001 5.20e-004 8.31e-003  -7.8 5.53e-002  -0.8 1.00e+000 2.25e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 1.6925327e+001 5.32e-004 8.28e-003  -8.7 1.62e-001  -1.3 1.00e+000 1.30e-001f  1
  51 1.6915117e+001 4.65e-004 8.23e-003  -7.4 6.07e-002  -0.9 1.00e+000 1.68e-001h  1
  52 1.6899027e+001 4.70e-004 8.19e-003  -8.3 1.78e-001  -1.4 1.00e+000 9.02e-002f  1
  53 1.6854390e+001 5.86e-004 7.98e-003  -6.7 6.72e-002  -0.9 1.00e+000 6.64e-001f  1
  54 1.6845027e+001 5.73e-004 7.96e-003  -7.5 1.96e-001  -1.4 1.00e+000 4.78e-002h  1
  55 1.6789976e+001 7.78e-004 7.75e-003  -6.3 7.38e-002  -1.0 1.00e+000 7.46e-001f  1
  56 1.6788602e+001 7.73e-004 7.75e-003  -7.1 2.14e-001  -1.5 1.00e+000 6.41e-003h  1
  57 1.6775953e+001 6.84e-004 7.71e-003  -8.3 8.11e-002  -1.0 1.00e+000 1.56e-001h  1
  58 1.6740205e+001 7.71e-004 7.65e-003  -8.3 2.37e-001  -1.5 1.00e+000 1.51e-001f  1
  59 1.6711010e+001 6.74e-004 7.56e-003  -7.7 8.95e-002  -1.1 1.00e+000 3.26e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.6700387e+001 7.94e-004 7.54e-003  -8.2 3.28e-001  -1.6 1.00e+000 4.04e-002h  1
  61 1.6679504e+001 7.47e-004 7.47e-003  -8.0 9.88e-002  -1.1 1.00e+000 2.11e-001h  1
  62 1.6653480e+001 2.30e-003 7.45e-003  -8.3 4.97e-001  -1.6 1.00e+000 8.87e-002f  1
  63 1.6630082e+001 2.07e-003 7.37e-003  -6.6 1.09e-001  -1.2 1.00e+000 2.14e-001h  1
  64 1.6605629e+001 3.42e-003 7.35e-003  -7.0 5.14e-001  -1.7 1.00e+000 7.52e-002f  1
  65 1.6560858e+001 3.42e-003 7.22e-003  -6.0 1.21e-001  -1.2 1.00e+000 3.70e-001h  1
  66 1.6516302e+001 9.86e-003 7.18e-003  -5.5 7.71e-001  -1.7 1.00e+000 1.23e-001f  1
  67 1.6382802e+001 1.42e-002 1.74e-002  -6.4 1.73e-001  -1.3 1.00e+000 1.00e+000h  1
  68 1.6361515e+001 1.36e-002 1.66e-002  -4.9 5.73e-001  -1.8 1.00e+000 5.72e-002h  1
  69 1.6274819e+001 9.58e-003 8.23e-003  -5.7 1.50e-001  -1.3 1.00e+000 6.17e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 1.6094119e+001 6.71e-002 5.61e-002  -4.3 8.81e-001  -1.8 9.66e-001 4.55e-001f  1
  71 1.6040376e+001 4.28e-002 3.20e-002  -4.8 1.73e-001  -1.4 1.00e+000 3.85e-001h  1
  72 1.5928845e+001 4.63e-002 3.84e-001  -4.4 7.18e-001  -1.9 1.00e+000 2.75e-001h  1
  73 1.5879649e+001 3.18e-002 2.47e-001  -5.0 2.46e-001  -1.4 1.00e+000 3.30e-001h  1
  74 1.5755433e+001 3.00e-002 2.28e-001  -4.7 1.00e+000  -1.9 1.00e+000 2.93e-001h  1
  75 1.5625903e+001 9.21e-003 6.04e-002  -5.0 1.52e-001  -1.5 1.00e+000 8.52e-001h  1
  76 1.5543516e+001 9.00e-003 4.85e-002  -5.2 4.24e-001  -2.0 1.00e+000 1.97e-001h  1
  77 1.5495434e+001 6.56e-003 3.36e-002  -5.4 1.57e-001  -1.5 1.00e+000 3.05e-001h  1
  78 1.5428022e+001 3.09e-001 5.21e-001  -4.9 3.29e+000  -2.0 1.00e+000 1.42e-001h  1
  79 1.5296709e+001 6.35e-002 5.72e-001  -4.5 1.70e-001  -1.6 1.00e+000 8.06e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 1.5203034e+001 5.07e-002 4.40e-001  -4.7 8.89e-001  -2.1 1.00e+000 2.02e-001h  1
  81 1.5161072e+001 3.86e-002 3.29e-001  -5.7 1.79e-001  -1.6 1.00e+000 2.39e-001h  1
  82 1.5061430e+001 3.08e-002 2.49e-001  -6.0 5.10e-001  -2.1 1.00e+000 2.03e-001h  1
  83 1.4966820e+001 1.50e-002 1.03e-001  -6.0 1.93e-001  -1.7 1.00e+000 5.13e-001h  1
  84 1.4845517e+001 1.53e-002 8.05e-002  -5.7 5.51e-001  -2.2 1.00e+000 2.38e-001h  1
  85 1.4794579e+001 1.35e-002 6.07e-002  -5.1 2.01e-001  -1.7 1.00e+000 2.72e-001h  1
  86 1.4733315e+001 3.29e-003 1.22e-002  -5.2 7.72e-002  -1.3 1.00e+000 8.85e-001h  1
  87 1.4671432e+001 4.87e-003 2.74e-002  -6.1 2.22e-001  -1.8 1.00e+000 3.03e-001h  1
  88 1.4659115e+001 1.10e-002 6.66e-002  -6.1 1.69e+000  -2.3 1.00e+000 2.15e-002h  1
  89 1.4518244e+001 1.04e-002 1.06e-002  -6.2 2.45e-001  -1.9 1.00e+000 6.38e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 1.4481723e+001 9.93e-003 5.23e-002  -6.4 6.59e-001  -2.3 1.00e+000 6.05e-002h  1
  91 1.4413207e+001 1.05e-002 9.09e-003  -6.1 2.50e-001  -1.9 1.00e+000 2.97e-001h  1
  92 1.4382400e+001 7.01e-003 5.64e-002  -5.2 9.46e-002  -1.5 1.00e+000 3.67e-001h  1
  93 1.4326772e+001 9.42e-003 4.53e-002  -5.5 3.44e-001  -2.0 1.00e+000 2.24e-001h  1
